amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
118635,0.15945481185082522,167.5439636343636,0.14215268677842807,0.006191444221405378,-0.1165062450540909,0.89,23.0,19.0,23.0,13.0,10.0,53.07532826537664
118636,0.053131554027608274,-89.87063589362069,0.054109982247405645,-0.0019843612114953907,-0.08316361763638702,0.55,35.0,38.0,37.0,1.0,6.0,77.81617138908086
119092,0.0636349475771898,7.757782440555658,0.07142412496628188,0.01817418829509043,-0.1440161790933726,1.64,33.0,31.0,29.0,39.5,15.0,85.348997926745
119093,0.07891944369437343,32.66285348508671,0.07056994472382347,0.016482859437698276,-0.21751396370148224,0.75,28.0,29.0,30.0,8.0,31.0,71.73462335867312
119094,0.28192608222062465,251.55420868963765,0.25386490987755783,-0.027905895556904727,-0.20960883862039192,1.38,9.0,11.0,9.0,17.0,28.0,34.83068417415342
119095,0.015204552427132478,-19.14533993604688,0.06332392352675406,-0.020027005199054777,-0.5167775370852656,1.38,39.0,33.0,34.0,17.0,39.0,91.77608845888045
119120,0.05885271270380055,-57.09699743023478,0.05493835304096259,-0.00030385094877172187,-0.04328728923970093,0.77,34.0,37.0,36.0,9.0,5.0,78.78369039391846
119551,0.2578492084946409,304.4831749779248,0.23069371834822508,-0.02545594596229897,-0.1501238549864533,1.54,10.0,4.0,10.0,30.5,17.0,33.93227366966137
119552,0.21508021785499332,240.22643321023463,0.19845077956235269,-0.016413597677568333,-0.11803493502764295,0.66,15.0,12.0,15.0,4.0,11.0,33.72494816862474
119598,0.3239808398464554,238.21768089393362,0.30770728070318626,-0.0031868358539593406,-0.2870600572176455,1.43,2.0,14.0,1.0,21.0,36.0,30.545957152729784
119599,0.02053064146209893,-14.41102970870135,0.06647153839605179,0.008523203757513864,-0.5257422117012851,0.72,38.0,32.0,32.0,5.5,40.0,84.65791292328956
120503,0.18771330105513617,201.08916036853174,0.1833860868055952,0.0016048160221004552,-0.13897862823061635,1.42,17.0,17.0,16.0,20.0,14.0,46.85556323427782
120504,0.2327744753273051,258.68411976942366,0.21274620201781275,-0.024546156556449907,-0.12588275606922517,0.8,13.0,10.0,13.0,12.0,12.0,33.1720801658604
120505,0.3280159948038617,297.3855018104836,0.3019418142745217,-0.016487120112353176,-0.18188513572116294,1.36,1.0,5.0,2.0,15.0,25.0,18.521078092605393
120506,0.17072227512921923,163.51745143228823,0.1561417961953712,0.027870780267585753,-0.1982565826298267,1.41,19.0,20.0,21.0,19.0,27.0,56.53075328265377
120507,0.0723241093234459,124.92229502423471,0.06750101117311785,-0.0004125557778600792,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,60.26261230131307
120841,0.13522349085511554,124.55667954254322,0.12699374918264195,-0.007478739300763972,-0.1757361416468729,1.59,24.0,24.0,25.0,35.0,24.0,71.45818935729096
120842,0.06696806255006482,19.151961707740483,0.07862455778982382,-0.013151761727185898,-0.24003511326274884,1.56,31.0,30.0,28.0,33.0,33.0,84.72702142363511
120843,0.30883325525154603,329.2994803247959,0.26910804125142895,-0.006792783961011995,-0.1297396816518679,1.45,6.0,2.0,6.0,22.0,13.0,22.39115411195577
120844,0.0691037983940288,-22.364318646324367,0.06480266895978519,-0.0004810888686301315,-0.0011629327956168556,0.6,30.0,34.0,33.0,3.0,2.0,68.41741534208708
125497,0.19003613208378556,195.4991429549224,0.1768080749490057,0.0074845814245965035,-0.15200013055606398,0.92,16.0,18.0,18.0,14.0,18.0,46.44091223220457
125498,0.11293660210400969,75.75420410272206,0.11123003396038093,0.016484955943766987,-0.21117279560132118,0.78,26.0,27.0,27.0,10.0,29.0,67.3116793365584
148567,0.30949920362874206,364.96937492221747,0.27295166212401545,0.010206834457236687,-0.11265729075028275,1.46,5.0,1.0,5.0,23.0,8.0,19.3503800967519
148568,0.22499840384352243,233.42441137747568,0.21534838457409847,-0.00276019391330904,-0.1527259422823477,1.52,14.0,15.0,11.0,26.5,19.0,44.29854872149274
148569,0.31924485848158723,311.20236649513106,0.28511007846461145,0.01703595091818913,-0.1639674294693263,1.6,4.0,3.0,4.0,36.5,21.0,28.541810642709052
149322,0.13383520958789363,116.9374372035604,0.12943747347537907,-0.010418274594868862,-0.14844576917771746,1.54,25.0,25.0,24.0,30.5,16.0,68.34830684174155
149323,0.29558105232568344,285.2947068236306,0.25935172208113566,0.0023187751953312164,-0.17248105753451382,1.61,8.0,6.0,8.0,38.0,22.0,37.04215618521078
149324,0.3226210752841656,239.34854781472396,0.29512881720981615,0.036138447024453936,-0.31171900300634214,1.52,3.0,13.0,3.0,26.5,37.0,34.34692467173463
